Entry,Entry.Name,Protein.names,Gene.Names,Organism,Length,Transmembrane,Intramembrane,Gene.Ontology..cellular.component.,Gene.Ontology..biological.process.,Gene.Ontology..molecular.function.,Gene.Ontology..GO.,Gene.Ontology.IDs,Subcellular.location..CC.,Prediction,OTHER,SP.Sec.SPI.,CS.Position,N_term_md,cterm_distance,penultimate_distance,membrane_domain_count,in_biogrid,in_massspec,Reduced.CC.Terms
A0A0B4J2F0,PIOS1_HUMAN,Protein PIGBOS1 (PIGB opposite strand protein 1),PIGBOS1,Homo sapiens (Human),54,"TRANSMEM 5..25; /note=""Helical""; /evidence=""ECO:0000255""",,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],regulation of endoplasmic reticulum unfolded protein response [GO:1900101]; response to unfolded protein [GO:0006986],,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; regulation of endoplasmic reticulum unfolded protein response [GO:1900101]; response to unfolded protein [GO:0006986],GO:0005739; GO:0005741; GO:0006986; GO:1900101,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:31653868}; Single-pass membrane protein {ECO:0000255}.,OTHER,0.933236,0.066776,,True,29,,1,False,False,outer membrane; mitochondrion
A0A0K2S4Q6,CD3CH_HUMAN,Protein CD300H (CD300 antigen-like family member H),CD300H,Homo sapiens (Human),201,"TRANSMEM 169..189; /note=""Helical""; /evidence=""ECO:0000255""",,extracellular region [GO:0005576]; plasma membrane [GO:0005886],neutrophil chemotaxis [GO:0030593]; regulation of innate immune response [GO:0045088]; signal transduction [GO:0007165],transmembrane signaling receptor activity [GO:0004888],extracellular region [GO:0005576]; plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; neutrophil chemotaxis [GO:0030593]; regulation of innate immune response [GO:0045088]; signal transduction [GO:0007165],GO:0004888; GO:0005576; GO:0005886; GO:0007165; GO:0030593; GO:0045088,SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000255}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:26221034}.,SP,0.000316,0.999651,CS pos: 24-25. Pr: 0.9609,False,12,,1,False,False,extracellular region; cell periphery
A0PJK1,SC5AA_HUMAN,Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10),SLC5A10 SGLT5,Homo sapiens (Human),596,"TRANSMEM 16..36; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 73..93; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 100..120; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 150..170; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 174..194; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 201..221; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 265..285; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 301..321; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 356..376; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 410..430; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 444..464; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 472..492; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 514..534; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 576..596; /note=""Helical""; /evidence=""ECO:0000255""",,apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886],hexose transmembrane transport [GO:0008645],D-glucose:sodium symporter activity [GO:0005412]; fructose:sodium symporter activity [GO:0140930]; mannose:sodium symporter activity [GO:0140929]; solute:sodium symporter activity [GO:0015370],apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]; D-glucose:sodium symporter activity [GO:0005412]; fructose:sodium symporter activity [GO:0140930]; mannose:sodium symporter activity [GO:0140929]; solute:sodium symporter activity [GO:0015370]; hexose transmembrane transport [GO:0008645],GO:0005412; GO:0005886; GO:0008645; GO:0015370; GO:0016324; GO:0070062; GO:0140929; GO:0140930,SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q5SWY8}; Multi-pass membrane protein {ECO:0000255}.,OTHER,1.0,0.0,,True,0,42.0,14,False,False,apical part of cell; extracellular region; cell periphery
A0PK00,T120B_HUMAN,Transmembrane protein 120B,TMEM120B,Homo sapiens (Human),339,"TRANSMEM 102..124; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 132..152; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 159..179; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 187..207; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 270..290; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 302..322; /note=""Helical""; /evidence=""ECO:0000255""",,nuclear inner membrane [GO:0005637],fat cell differentiation [GO:0045444]; protein heterooligomerization [GO:0051291],,nuclear inner membrane [GO:0005637]; fat cell differentiation [GO:0045444]; protein heterooligomerization [GO:0051291],GO:0005637; GO:0045444; GO:0051291,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:Q3TA38}; Multi-pass membrane protein {ECO:0000255}.,OTHER,1.0,0.0,,False,17,12.0,6,False,False,nuclear envelope
A0PK11,CLRN2_HUMAN,Clarin-2,CLRN2,Homo sapiens (Human),232,"TRANSMEM 10..30; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 101..121; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 139..159; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 188..208; /note=""Helical""; /evidence=""ECO:0000255""",,stereocilium bundle [GO:0032421]; stereocilium membrane [GO:0060171],auditory receptor cell stereocilium organization [GO:0060088]; sensory perception of sound [GO:0007605]; stereocilium maintenance [GO:0120045],,stereocilium bundle [GO:0032421]; stereocilium membrane [GO:0060171]; auditory receptor cell stereocilium organization [GO:0060088]; sensory perception of sound [GO:0007605]; stereocilium maintenance [GO:0120045],GO:0007605; GO:0032421; GO:0060088; GO:0060171; GO:0120045,"SUBCELLULAR LOCATION: Cell projection, stereocilium membrane {ECO:0000250|UniProtKB:B2RVW2}; Multi-pass membrane protein {ECO:0000255}.",OTHER,0.999997,2.1e-05,,True,24,29.0,4,False,False,brush border; cell leading edge
A1L3X0,ELOV7_HUMAN,Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7),ELOVL7,Homo sapiens (Human),281,"TRANSMEM 28..48; /note=""Helical; Name=1""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 73..93; /note=""Helical; Name=2""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 116..136; /note=""Helical; Name=3""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 143..162; /note=""Helical; Name=4""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 172..194; /note=""Helical; Name=5""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 207..227; /note=""Helical; Name=6""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 237..257; /note=""Helical; Name=7""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""",,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789],"fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, polyunsaturated fatty acid [GO:0034626]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; sphingolipid biosynthetic process [GO:0030148]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]",fatty acid elongase activity [GO:0009922],"endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fatty acid elongase activity [GO:0009922]; fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, polyunsaturated fatty acid [GO:0034626]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; sphingolipid biosynthetic process [GO:0030148]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]",GO:0005783; GO:0005789; GO:0006636; GO:0009922; GO:0019367; GO:0030148; GO:0034625; GO:0034626; GO:0035338; GO:0042761,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03207, ECO:0000269|PubMed:20937905}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03207}.",OTHER,0.999923,8.3e-05,,True,24,10.0,7,False,False,endomembrane system
A2RU14,TM218_HUMAN,Transmembrane protein 218,TMEM218,Homo sapiens (Human),115,"TRANSMEM 5..25; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 38..58; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 81..101; /note=""Helical""; /evidence=""ECO:0000255""",,cilium [GO:0005929]; membrane [GO:0016020],,,cilium [GO:0005929]; membrane [GO:0016020],GO:0005929; GO:0016020,"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cell projection, cilium {ECO:0000250|UniProtKB:Q9CQ44}. Note=Localizes at the transition zone, a region between the basal body and the ciliary axoneme. {ECO:0000250|UniProtKB:Q9CQ44}.",OTHER,0.999978,0.0,,True,14,23.0,3,False,False,cell projection; membrane
A4D256,CC14C_HUMAN,Dual specificity protein phosphatase CDC14C (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog C),CDC14C CDC14B2 CDC14Bretro,Homo sapiens (Human),447,"TRANSMEM 426..446; /note=""Helical""; /evidence=""ECO:0000255""",,cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; mitotic spindle [GO:0072686]; nucleolus [GO:0005730]; spindle pole [GO:0000922],cilium assembly [GO:0060271]; microtubule cytoskeleton organization [GO:0000226]; positive regulation of cytokinesis [GO:0032467]; regulation of exit from mitosis [GO:0007096],protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725],cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; mitotic spindle [GO:0072686]; nucleolus [GO:0005730]; spindle pole [GO:0000922]; protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725]; cilium assembly [GO:0060271]; microtubule cytoskeleton organization [GO:0000226]; positive regulation of cytokinesis [GO:0032467]; regulation of exit from mitosis [GO:0007096],GO:0000226; GO:0000922; GO:0004722; GO:0004725; GO:0005730; GO:0005737; GO:0005789; GO:0007096; GO:0032467; GO:0060271; GO:0072686,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18547142}; Single-pass membrane protein {ECO:0000255}. Note=Retains its endoplasmic reticulum localization during mitosis. {ECO:0000269|PubMed:18547142}.,OTHER,1.0,2e-06,,False,1,,1,False,False,cytoplasm; endomembrane system; cytoskeleton; nucleus
A5X5Y0,5HT3E_HUMAN,5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E),HTR3E,Homo sapiens (Human),456,"TRANSMEM 249..269; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 283..303; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 308..328; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 434..454; /note=""Helical; Name=4""; /evidence=""ECO:0000255""",,neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; serotonin-activated cation-selective channel complex [GO:1904602]; synapse [GO:0045202]; transmembrane transporter complex [GO:1902495],chemical synaptic transmission [GO:0007268]; inorganic cation transmembrane transport [GO:0098662]; monoatomic ion transmembrane transport [GO:0034220]; regulation of membrane potential [GO:0042391]; serotonin receptor signaling pathway [GO:0007210]; serotonin-gated cation-selective signaling pathway [GO:0140227],excitatory extracellular ligand-gated monoatomic ion channel activity [GO:0005231]; serotonin-gated monoatomic cation channel activity [GO:0022850]; transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315],neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; serotonin-activated cation-selective channel complex [GO:1904602]; synapse [GO:0045202]; transmembrane transporter complex [GO:1902495]; excitatory extracellular ligand-gated monoatomic ion channel activity [GO:0005231]; serotonin-gated monoatomic cation channel activity [GO:0022850]; transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]; chemical synaptic transmission [GO:0007268]; inorganic cation transmembrane transport [GO:0098662]; monoatomic ion transmembrane transport [GO:0034220]; regulation of membrane potential [GO:0042391]; serotonin receptor signaling pathway [GO:0007210]; serotonin-gated cation-selective signaling pathway [GO:0140227],GO:0005231; GO:0005886; GO:0007210; GO:0007268; GO:0022850; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0098662; GO:0140227; GO:1902495; GO:1904315; GO:1904602,"SUBCELLULAR LOCATION: Postsynaptic cell membrane {ECO:0000305|PubMed:17392525}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:17392525, ECO:0000269|PubMed:19012743}; Multi-pass membrane protein {ECO:0000255}. Note=Presumably retained within the endoplasmic reticulum unless complexed with HTR3A. {ECO:0000269|PubMed:17392525}.",SP,0.000474,0.999514,CS pos: 25-26. Pr: 0.9659,False,2,106.0,4,False,False,cell projection; cell periphery; cell junction; receptor complex; transporter complex
A6NFA1,TIKI2_HUMAN,"Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)",TRABD2B HKAT TIKI2,Homo sapiens (Human),517,"TRANSMEM 495..515; /note=""Helical""; /evidence=""ECO:0000255""",,nucleoplasm [GO:0005654]; organelle membrane [GO:0031090]; plasma membrane [GO:0005886],negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of protein-containing complex assembly [GO:0031334]; proteolysis [GO:0006508]; Wnt signaling pathway [GO:0016055],metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; Wnt-protein binding [GO:0017147],nucleoplasm [GO:0005654]; organelle membrane [GO:0031090]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; Wnt-protein binding [GO:0017147]; negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of protein-containing complex assembly [GO:0031334]; proteolysis [GO:0006508]; Wnt signaling pathway [GO:0016055],GO:0004222; GO:0005654; GO:0005886; GO:0006508; GO:0016055; GO:0017147; GO:0030178; GO:0031090; GO:0031334; GO:0046872,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22726442}; Single-pass type I membrane protein {ECO:0000269|PubMed:22726442}.,SP,0.000228,0.999788,CS pos: 19-20. Pr: 0.9776,False,2,,1,False,False,nucleus; membrane; cell periphery
