Entry,Entry.Name,Protein.names,Gene.Names,Organism,Length,Transmembrane,Intramembrane,Gene.Ontology..cellular.component.,Gene.Ontology..biological.process.,Gene.Ontology..molecular.function.,Gene.Ontology..GO.,Gene.Ontology.IDs,Subcellular.location..CC.,Prediction,OTHER,SP.Sec.SPI.,CS.Position,N_term_md,cterm_distance,penultimate_distance,membrane_domain_count,in_biogrid,in_massspec,Reduced.CC.Terms
O00391,QSOX1_HUMAN,Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6),QSOX1 QSCN6 UNQ2520/PRO6013,Homo sapiens (Human),747,"TRANSMEM 710..730; /note=""Helical""; /evidence=""ECO:0000255""",,endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; platelet alpha granule lumen [GO:0031093]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724],extracellular matrix assembly [GO:0085029]; negative regulation of macroautophagy [GO:0016242]; protein folding [GO:0006457],FAD binding [GO:0071949]; flavin-dependent sulfhydryl oxidase activity [GO:0016971]; protein disulfide isomerase activity [GO:0003756],endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; platelet alpha granule lumen [GO:0031093]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; FAD binding [GO:0071949]; flavin-dependent sulfhydryl oxidase activity [GO:0016971]; protein disulfide isomerase activity [GO:0003756]; extracellular matrix assembly [GO:0085029]; negative regulation of macroautophagy [GO:0016242]; protein folding [GO:0006457],GO:0000139; GO:0003756; GO:0005576; GO:0005615; GO:0005788; GO:0005794; GO:0006457; GO:0016242; GO:0016971; GO:0031093; GO:0035580; GO:0043231; GO:0070062; GO:0071949; GO:0085029; GO:1904724,"SUBCELLULAR LOCATION: [Isoform 1]: Golgi apparatus membrane {ECO:0000269|PubMed:17331072, ECO:0000269|PubMed:23704371}; Single-pass membrane protein {ECO:0000305|PubMed:17331072}. Secreted {ECO:0000269|PubMed:29757379}. Note=A small proportion is secreted, probably via a proteolytic cleavage that removes the membrane anchor. {ECO:0000305|PubMed:29757379}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:10708601}. Note=Found in the extracellular medium of quiescent cells but is not found in proliferating cells. {ECO:0000269|PubMed:10708601}.",SP,0.000295,0.99969,CS pos: 29-30. Pr: 0.9744,False,17,,1,False,True,endomembrane system; extracellular region; Golgi apparatus; intracellular organelle; secretory vesicle
O14548,CO72L_HUMAN,"Cytochrome c oxidase subunit 7A2-like, mitochondrial (Cytochrome c oxidase subunit 7A-related protein) (COX7a-related protein) (Cytochrome c oxidase subunit VIIa-related protein) (EB1) (Supercomplex assembly factor 1)",COX7A2L COX7AR COX7RP SCAF1 SCAFI,Homo sapiens (Human),114,"TRANSMEM 82..107; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q99KD6""",,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; respiratory chain complex [GO:0098803]; respiratory chain complex IV [GO:0045277],"mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial respirasome assembly [GO:0097250]",cytochrome-c oxidase activity [GO:0004129]; protein-macromolecule adaptor activity [GO:0030674],"mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; respiratory chain complex [GO:0098803]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; protein-macromolecule adaptor activity [GO:0030674]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial respirasome assembly [GO:0097250]",GO:0004129; GO:0005730; GO:0005739; GO:0005743; GO:0006123; GO:0030674; GO:0045277; GO:0097250; GO:0098803,SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:27545886}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q99KD6}.,OTHER,1.0,0.0,,True,7,,1,False,True,mitochondrion; nucleus; respiratory chain complex; peptidase complex
O14735,CDIPT_HUMAN,CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase),CDIPT PIS PIS1,Homo sapiens (Human),213,"TRANSMEM 6..26; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 28..48; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 74..94; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 96..116; /note=""Helical""; /evidence=""ECO:0000305""; TRANSMEM 140..160; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 175..195; /note=""Helical""; /evidence=""ECO:0000255""",,endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; plasma membrane [GO:0005886],CDP-diacylglycerol metabolic process [GO:0046341]; phosphatidylinositol biosynthetic process [GO:0006661],alcohol binding [GO:0043178]; carbohydrate binding [GO:0030246]; CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity [GO:0003881]; diacylglycerol binding [GO:0019992]; manganese ion binding [GO:0030145],endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; plasma membrane [GO:0005886]; alcohol binding [GO:0043178]; carbohydrate binding [GO:0030246]; CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity [GO:0003881]; diacylglycerol binding [GO:0019992]; manganese ion binding [GO:0030145]; CDP-diacylglycerol metabolic process [GO:0046341]; phosphatidylinositol biosynthetic process [GO:0006661],GO:0003881; GO:0005789; GO:0005794; GO:0005886; GO:0006661; GO:0016020; GO:0019992; GO:0030145; GO:0030246; GO:0043178; GO:0046341,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:8110188}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000305|PubMed:8110188}; Multi-pass membrane protein {ECO:0000255}.,OTHER,0.99976,0.000246,,True,18,15.0,6,False,True,endomembrane system; Golgi apparatus; membrane; cell periphery
O14880,MGST3_HUMAN,"Glutathione S-transferase 3, mitochondrial (GST-3) (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)",MGST3,Homo sapiens (Human),152,"TRANSMEM 9..29; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 71..91; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 120..140; /note=""Helical""; /evidence=""ECO:0000255""",,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635],arachidonate metabolic process [GO:0019369]; leukotriene biosynthetic process [GO:0019370]; lipid metabolic process [GO:0006629]; prostanoid metabolic process [GO:0006692],glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; identical protein binding [GO:0042802]; leukotriene-C4 synthase activity [GO:0004464],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; identical protein binding [GO:0042802]; leukotriene-C4 synthase activity [GO:0004464]; arachidonate metabolic process [GO:0019369]; leukotriene biosynthetic process [GO:0019370]; lipid metabolic process [GO:0006629]; prostanoid metabolic process [GO:0006692],GO:0004364; GO:0004464; GO:0004602; GO:0005635; GO:0005739; GO:0005741; GO:0005783; GO:0005789; GO:0006629; GO:0006692; GO:0016020; GO:0019369; GO:0019370; GO:0042802; GO:0043231,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:27184847}; Multi-pass membrane protein {ECO:0000255}.,OTHER,1.0,0.0,,True,12,29.0,3,False,True,endomembrane system; intracellular organelle; membrane; outer membrane; mitochondrion; nuclear envelope
O14925,TIM23_HUMAN,Mitochondrial import inner membrane translocase subunit Tim23,TIMM23 TIM23,Homo sapiens (Human),209,"TRANSMEM 73..93; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 125..145; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 181..197; /note=""Helical""; /evidence=""ECO:0000255""",,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744],intracellular protein transport [GO:0006886]; protein import into mitochondrial matrix [GO:0030150]; protein targeting to mitochondrion [GO:0006626]; type 2 mitophagy [GO:0061734],protein transmembrane transporter activity [GO:0008320],mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]; protein transmembrane transporter activity [GO:0008320]; intracellular protein transport [GO:0006886]; protein import into mitochondrial matrix [GO:0030150]; protein targeting to mitochondrion [GO:0006626]; type 2 mitophagy [GO:0061734],GO:0005739; GO:0005743; GO:0005744; GO:0005758; GO:0006626; GO:0006886; GO:0008320; GO:0030150; GO:0061734,SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:25997101}; Multi-pass membrane protein {ECO:0000255}.,OTHER,0.99974,0.000302,,True,12,36.0,3,False,True,mitochondrion; nuclear envelope
O14949,QCR8_HUMAN,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),UQCRQ,Homo sapiens (Human),82,"TRANSMEM 40..68; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28844695""",,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275],"cellular respiration [GO:0045333]; cerebellar Purkinje cell layer development [GO:0021680]; hippocampus development [GO:0021766]; hypothalamus development [GO:0021854]; midbrain development [GO:0030901]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; pons development [GO:0021548]; pyramidal neuron development [GO:0021860]; subthalamus development [GO:0021539]; thalamus development [GO:0021794]",,"mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]; cellular respiration [GO:0045333]; cerebellar Purkinje cell layer development [GO:0021680]; hippocampus development [GO:0021766]; hypothalamus development [GO:0021854]; midbrain development [GO:0030901]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; pons development [GO:0021548]; pyramidal neuron development [GO:0021860]; subthalamus development [GO:0021539]; thalamus development [GO:0021794]",GO:0005739; GO:0005743; GO:0006122; GO:0021539; GO:0021548; GO:0021680; GO:0021766; GO:0021794; GO:0021854; GO:0021860; GO:0030901; GO:0045275; GO:0045333,SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P08525}; Single-pass membrane protein {ECO:0000250|UniProtKB:P08525}.,OTHER,0.999978,2.8e-05,,True,14,,1,False,True,mitochondrion; peptidase complex
O15260,SURF4_HUMAN,Surfeit locus protein 4,SURF4 SURF-4,Homo sapiens (Human),269,"TRANSMEM 64..84; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 92..112; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 203..223; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 239..259; /note=""Helical""; /evidence=""ECO:0000255""",,azurophil granule membrane [GO:0035577]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; transport vesicle [GO:0030133],COPII-coated vesicle cargo loading [GO:0090110]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; lipid export from cell [GO:0140353]; lipid homeostasis [GO:0055088]; lipoprotein transport [GO:0042953]; positive regulation of organelle organization [GO:0010638]; regulation of lipid transport [GO:0032368],cargo receptor activity [GO:0038024]; COPII receptor activity [GO:0097020],azurophil granule membrane [GO:0035577]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; transport vesicle [GO:0030133]; cargo receptor activity [GO:0038024]; COPII receptor activity [GO:0097020]; COPII-coated vesicle cargo loading [GO:0090110]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; lipid export from cell [GO:0140353]; lipid homeostasis [GO:0055088]; lipoprotein transport [GO:0042953]; positive regulation of organelle organization [GO:0010638]; regulation of lipid transport [GO:0032368],GO:0000139; GO:0005783; GO:0005789; GO:0005793; GO:0005794; GO:0005829; GO:0005886; GO:0006888; GO:0007030; GO:0010638; GO:0030133; GO:0030134; GO:0031965; GO:0032368; GO:0033116; GO:0035577; GO:0038024; GO:0042953; GO:0055088; GO:0070971; GO:0090110; GO:0097020; GO:0140353,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15308636, ECO:0000269|PubMed:18287528, ECO:0000269|PubMed:30251625, ECO:0000269|PubMed:33186557}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:18287528}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:18287528, ECO:0000269|PubMed:30251625, ECO:0000269|PubMed:33186557}; Multi-pass membrane protein {ECO:0000255}. Note=Active at endoplasmic reticulum exit sites (ERES) where it is incorporated together with its lipoprotein cargos into COPII-coated vesicles. From the Golgi it is recycled back to the endoplasmic reticulum. {ECO:0000269|PubMed:18287528, ECO:0000269|PubMed:33186557}.",OTHER,0.999824,0.000172,,True,10,16.0,5,False,True,vacuole; coated vesicle; cytosol; endomembrane system; endoplasmic reticulum-Golgi intermediate compartment; Golgi apparatus; nuclear envelope; cell periphery; vesicle
O15400,STX7_HUMAN,Syntaxin-7,STX7,Homo sapiens (Human),261,"TRANSMEM 239..259; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""",,azurophil granule [GO:0042582]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endocytic vesicle [GO:0030139]; endomembrane system [GO:0012505]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; immunological synapse [GO:0001772]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; SNARE complex [GO:0031201]; synaptic vesicle [GO:0008021]; tertiary granule [GO:0070820]; vesicle [GO:0031982],intracellular protein transport [GO:0006886]; organelle assembly [GO:0070925]; organelle localization [GO:0051640]; positive regulation of receptor localization to synapse [GO:1902685]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; regulation of protein localization to plasma membrane [GO:1903076]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906],chloride channel inhibitor activity [GO:0019869]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905],azurophil granule [GO:0042582]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endocytic vesicle [GO:0030139]; endomembrane system [GO:0012505]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; immunological synapse [GO:0001772]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; SNARE complex [GO:0031201]; synaptic vesicle [GO:0008021]; tertiary granule [GO:0070820]; vesicle [GO:0031982]; chloride channel inhibitor activity [GO:0019869]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; intracellular protein transport [GO:0006886]; organelle assembly [GO:0070925]; organelle localization [GO:0051640]; positive regulation of receptor localization to synapse [GO:1902685]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; regulation of protein localization to plasma membrane [GO:1903076]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906],GO:0000149; GO:0001772; GO:0001916; GO:0005484; GO:0005764; GO:0005765; GO:0005768; GO:0005769; GO:0005770; GO:0005886; GO:0006886; GO:0006906; GO:0008021; GO:0012505; GO:0019869; GO:0019905; GO:0030139; GO:0031201; GO:0031901; GO:0031982; GO:0042582; GO:0048278; GO:0048471; GO:0051640; GO:0055037; GO:0070062; GO:0070820; GO:0070925; GO:1902685; GO:1903076,SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}.,OTHER,1.0,0.0,,False,2,,1,False,True,vacuole; endosome; vesicle; endomembrane system; extracellular region; immunological synapse; perinuclear region of cytoplasm; cell periphery; membrane protein complex; secretory vesicle
O15533,TPSN_HUMAN,Tapasin (TPN) (TPSN) (NGS-17) (TAP-associated protein) (TAP-binding protein),TAPBP NGS17 TAPA,Homo sapiens (Human),448,"TRANSMEM 415..435; /note=""Helical""; /evidence=""ECO:0000255""",,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]; lumenal side of endoplasmic reticulum membrane [GO:0098553]; MHC class I peptide loading complex [GO:0042824]; phagocytic vesicle membrane [GO:0030670]; Tapasin-ERp57 complex [GO:0061779],"antigen processing and presentation of endogenous peptide antigen via MHC class I [GO:0019885]; MHC class Ib protein complex assembly [GO:0002398]; peptide antigen assembly with MHC class I protein complex [GO:0002502]; peptide antigen stabilization [GO:0050823]; protein-containing complex assembly [GO:0065003]; regulation of gene expression [GO:0010468]; regulation of protein complex stability [GO:0061635]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]",MHC class I protein binding [GO:0042288]; MHC class I protein complex binding [GO:0023024]; molecular adaptor activity [GO:0060090]; peptide antigen binding [GO:0042605]; protein folding chaperone [GO:0044183]; TAP complex binding [GO:0062061]; TAP1 binding [GO:0046978]; TAP2 binding [GO:0046979]; unfolded protein binding [GO:0051082],"endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]; lumenal side of endoplasmic reticulum membrane [GO:0098553]; MHC class I peptide loading complex [GO:0042824]; phagocytic vesicle membrane [GO:0030670]; Tapasin-ERp57 complex [GO:0061779]; MHC class I protein binding [GO:0042288]; MHC class I protein complex binding [GO:0023024]; molecular adaptor activity [GO:0060090]; peptide antigen binding [GO:0042605]; protein folding chaperone [GO:0044183]; TAP complex binding [GO:0062061]; TAP1 binding [GO:0046978]; TAP2 binding [GO:0046979]; unfolded protein binding [GO:0051082]; antigen processing and presentation of endogenous peptide antigen via MHC class I [GO:0019885]; MHC class Ib protein complex assembly [GO:0002398]; peptide antigen assembly with MHC class I protein complex [GO:0002502]; peptide antigen stabilization [GO:0050823]; protein-containing complex assembly [GO:0065003]; regulation of gene expression [GO:0010468]; regulation of protein complex stability [GO:0061635]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]",GO:0000139; GO:0002398; GO:0002502; GO:0005783; GO:0005789; GO:0006890; GO:0010468; GO:0019885; GO:0023024; GO:0030670; GO:0033116; GO:0042288; GO:0042605; GO:0042824; GO:0044183; GO:0046978; GO:0046979; GO:0050823; GO:0051082; GO:0060090; GO:0061635; GO:0061779; GO:0062061; GO:0065003; GO:0098553,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.,SP,0.000242,0.999706,CS pos: 20-21. Pr: 0.9791,False,13,,1,False,True,endomembrane system; endoplasmic reticulum-Golgi intermediate compartment; Golgi apparatus; side of membrane; rough endoplasmic reticulum; vesicle
O43752,STX6_HUMAN,Syntaxin-6,STX6,Homo sapiens (Human),255,"TRANSMEM 235..255; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""",,clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; early endosome [GO:0005769]; endomembrane system [GO:0012505]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; SNARE complex [GO:0031201]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588],"endocytic recycling [GO:0032456]; Golgi vesicle transport [GO:0048193]; intracellular protein transport [GO:0006886]; regulation of protein localization [GO:0032880]; retrograde transport, endosome to Golgi [GO:0042147]; synaptic vesicle to endosome fusion [GO:0016189]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]",SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905],"clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; early endosome [GO:0005769]; endomembrane system [GO:0012505]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; SNARE complex [GO:0031201]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; endocytic recycling [GO:0032456]; Golgi vesicle transport [GO:0048193]; intracellular protein transport [GO:0006886]; regulation of protein localization [GO:0032880]; retrograde transport, endosome to Golgi [GO:0042147]; synaptic vesicle to endosome fusion [GO:0016189]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]",GO:0000139; GO:0000149; GO:0005484; GO:0005654; GO:0005769; GO:0005794; GO:0005802; GO:0005829; GO:0005886; GO:0006886; GO:0006906; GO:0012505; GO:0016189; GO:0019905; GO:0030136; GO:0030672; GO:0031201; GO:0032456; GO:0032588; GO:0032880; GO:0042147; GO:0045335; GO:0048193; GO:0048278; GO:0048471; GO:0055037; GO:0055038,"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:23818989}; Single-pass type IV membrane protein {ECO:0000305}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q63635}; Single-pass type IV membrane protein {ECO:0000255}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q63635}; Single-pass type IV membrane protein {ECO:0000255}.",OTHER,1.0,0.0,,False,0,,1,False,True,coated vesicle; cytosol; endosome; endomembrane system; Golgi apparatus; nucleus; perinuclear region of cytoplasm; vesicle; cell periphery; membrane protein complex
