Entry,Entry.Name,Protein.names,Gene.Names,Organism,Length,Transmembrane,Intramembrane,Gene.Ontology..cellular.component.,Gene.Ontology..biological.process.,Gene.Ontology..molecular.function.,Gene.Ontology..GO.,Gene.Ontology.IDs,Subcellular.location..CC.,Prediction,OTHER,SP.Sec.SPI.,CS.Position,N_term_md,cterm_distance,penultimate_distance,membrane_domain_count,in_biogrid,in_massspec,Reduced.CC.Terms,disprot_id,disprot_disorder_content,disprot_disorder_regions,aiupred_mean_score,aiupred_disordered_fraction,mobidb_lite_disordered_fraction
A4D256,CC14C_HUMAN,Dual specificity protein phosphatase CDC14C (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog C),CDC14C CDC14B2 CDC14Bretro,Homo sapiens (Human),447,"TRANSMEM 426..446; /note=""Helical""; /evidence=""ECO:0000255""",,cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; mitotic spindle [GO:0072686]; nucleolus [GO:0005730]; spindle pole [GO:0000922],cilium assembly [GO:0060271]; microtubule cytoskeleton organization [GO:0000226]; positive regulation of cytokinesis [GO:0032467]; regulation of exit from mitosis [GO:0007096],protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725],cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; mitotic spindle [GO:0072686]; nucleolus [GO:0005730]; spindle pole [GO:0000922]; protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725]; cilium assembly [GO:0060271]; microtubule cytoskeleton organization [GO:0000226]; positive regulation of cytokinesis [GO:0032467]; regulation of exit from mitosis [GO:0007096],GO:0000226; GO:0000922; GO:0004722; GO:0004725; GO:0005730; GO:0005737; GO:0005789; GO:0007096; GO:0032467; GO:0060271; GO:0072686,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18547142}; Single-pass membrane protein {ECO:0000255}. Note=Retains its endoplasmic reticulum localization during mitosis. {ECO:0000269|PubMed:18547142}.,OTHER,1.0,2e-06,,False,1,,1,False,False,cytoplasm; endomembrane system; cytoskeleton; nucleus,,,,0.3343,0.2617,0.0
A6NFA1,TIKI2_HUMAN,"Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)",TRABD2B HKAT TIKI2,Homo sapiens (Human),517,"TRANSMEM 495..515; /note=""Helical""; /evidence=""ECO:0000255""",,nucleoplasm [GO:0005654]; organelle membrane [GO:0031090]; plasma membrane [GO:0005886],negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of protein-containing complex assembly [GO:0031334]; proteolysis [GO:0006508]; Wnt signaling pathway [GO:0016055],metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; Wnt-protein binding [GO:0017147],nucleoplasm [GO:0005654]; organelle membrane [GO:0031090]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; Wnt-protein binding [GO:0017147]; negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of protein-containing complex assembly [GO:0031334]; proteolysis [GO:0006508]; Wnt signaling pathway [GO:0016055],GO:0004222; GO:0005654; GO:0005886; GO:0006508; GO:0016055; GO:0017147; GO:0030178; GO:0031090; GO:0031334; GO:0046872,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22726442}; Single-pass type I membrane protein {ECO:0000269|PubMed:22726442}.,SP,0.000228,0.999788,CS pos: 19-20. Pr: 0.9776,False,2,,1,False,False,nucleus; membrane; cell periphery,,,,0.4538,0.412,0.2302
A6NI73,LIRA5_HUMAN,Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f),LILRA5 ILT11 LILRB7 LIR9,Homo sapiens (Human),299,"TRANSMEM 269..289; /note=""Helical""; /evidence=""ECO:0000255""",,cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],cytokine-mediated signaling pathway [GO:0019221]; immune response-regulating signaling pathway [GO:0002764]; innate immune response [GO:0045087]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-13 production [GO:0032696]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cell activation [GO:0050867]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of tumor necrosis factor production [GO:0032760],inhibitory MHC class I receptor activity [GO:0032396],cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; inhibitory MHC class I receptor activity [GO:0032396]; cytokine-mediated signaling pathway [GO:0019221]; immune response-regulating signaling pathway [GO:0002764]; innate immune response [GO:0045087]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-13 production [GO:0032696]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cell activation [GO:0050867]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of tumor necrosis factor production [GO:0032760],GO:0002764; GO:0005576; GO:0005615; GO:0005886; GO:0009986; GO:0019221; GO:0032396; GO:0032695; GO:0032696; GO:0032731; GO:0032733; GO:0032755; GO:0032760; GO:0043410; GO:0045087; GO:0050729; GO:0050867; GO:0051928; GO:0061098,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12393390}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:12393390}.,SP,0.001265,0.998696,CS pos: 41-42. Pr: 0.9222,False,10,,1,False,False,cell surface; extracellular region; cell periphery,DP02812,0.03678929765886288,DP02812r001;DP02812r002;DP02812r003,0.3532,0.2475,0.0
O00241,SIRB1_HUMAN,Signal-regulatory protein beta-1 (SIRP-beta-1) (CD172 antigen-like family member B) (CD antigen CD172b),SIRPB1,Homo sapiens (Human),398,"TRANSMEM 372..392; /note=""Helical""; /evidence=""ECO:0000255""",,cell surface [GO:0009986]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667],cell surface receptor signaling pathway [GO:0007166]; positive regulation of phagocytosis [GO:0050766]; positive regulation of T cell activation [GO:0050870]; signal transduction [GO:0007165],,cell surface [GO:0009986]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; cell surface receptor signaling pathway [GO:0007166]; positive regulation of phagocytosis [GO:0050766]; positive regulation of T cell activation [GO:0050870]; signal transduction [GO:0007165],GO:0005886; GO:0007165; GO:0007166; GO:0009986; GO:0030667; GO:0050766; GO:0050870,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10604985}; Single-pass type I membrane protein {ECO:0000255}.,SP,0.00026,0.999722,CS pos: 29-30. Pr: 0.9592,False,6,,1,False,False,cell surface; cell periphery; secretory vesicle,,,,0.2292,0.0151,0.0
O00526,UPK2_HUMAN,Uroplakin-2 (UP2) (Uroplakin II) (UPII),UPK2,Homo sapiens (Human),184,"TRANSMEM 156..176; /note=""Helical""; /evidence=""ECO:0000255""",,apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886],epithelial cell differentiation [GO:0030855],,apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]; epithelial cell differentiation [GO:0030855],GO:0005886; GO:0016324; GO:0030855; GO:0070062,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Note=Heterodimer formation with UPK1A is a prerequisite to exit out of the endoplasmic reticulum (ER). {ECO:0000250}.,SP,0.000217,0.999769,CS pos: 25-26. Pr: 0.9775,False,8,,1,False,False,apical part of cell; extracellular region; cell periphery,,,,0.2955,0.1902,0.0
O14653,GOSR2_HUMAN,Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin),GOSR2 GS27,Homo sapiens (Human),212,"TRANSMEM 191..211; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""",,cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; late endosome membrane [GO:0031902]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; SNARE complex [GO:0031201],intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]; vesicle fusion [GO:0006906],SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; late endosome membrane [GO:0031902]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; SNARE complex [GO:0031201]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]; vesicle fusion [GO:0006906],GO:0000139; GO:0000149; GO:0005484; GO:0005654; GO:0005789; GO:0005794; GO:0005829; GO:0006891; GO:0006906; GO:0012507; GO:0015031; GO:0016020; GO:0031201; GO:0031902; GO:0033116,"SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:21549339}; Single-pass type IV membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:9349823}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O35165}. Note=Concentrated most in the intermediate compartment/cis-Golgi network and the cis-Golgi cisternae 1 and 2. Greatly reduced in concentration at the trans end of the Golgi apparatus. {ECO:0000250|UniProtKB:O35165}.",OTHER,1.0,0.0,,False,1,,1,False,False,cytosol; endomembrane system; endoplasmic reticulum-Golgi intermediate compartment; coated vesicle; Golgi apparatus; endosome; membrane; nucleus; membrane protein complex,,,,0.4355,0.4151,0.0
O14662,STX16_HUMAN,Syntaxin-16 (Syn16),STX16,Homo sapiens (Human),325,"TRANSMEM 302..322; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""",,cytoplasm [GO:0005737]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; Golgi cisterna [GO:0031985]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; SNARE complex [GO:0031201]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588],"endocytic recycling [GO:0032456]; intracellular protein transport [GO:0006886]; retrograde transport, endosome to Golgi [GO:0042147]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]",SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905],"cytoplasm [GO:0005737]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; Golgi cisterna [GO:0031985]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; SNARE complex [GO:0031201]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; endocytic recycling [GO:0032456]; intracellular protein transport [GO:0006886]; retrograde transport, endosome to Golgi [GO:0042147]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]",GO:0000139; GO:0000149; GO:0005484; GO:0005737; GO:0005794; GO:0005802; GO:0005829; GO:0005925; GO:0006886; GO:0006906; GO:0012505; GO:0016020; GO:0019905; GO:0030672; GO:0031201; GO:0031985; GO:0032456; GO:0032588; GO:0042147; GO:0043231; GO:0048278; GO:0048471,SUBCELLULAR LOCATION: Golgi apparatus membrane; Single-pass type IV membrane protein.; SUBCELLULAR LOCATION: [Isoform C]: Cytoplasm.,OTHER,1.0,1.7e-05,,False,3,,1,False,False,cytoplasm; cytosol; endomembrane system; anchoring junction; Golgi apparatus; intracellular organelle; membrane; perinuclear region of cytoplasm; membrane protein complex; vesicle,,,,0.3555,0.2308,0.0
O15400,STX7_HUMAN,Syntaxin-7,STX7,Homo sapiens (Human),261,"TRANSMEM 239..259; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""",,azurophil granule [GO:0042582]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endocytic vesicle [GO:0030139]; endomembrane system [GO:0012505]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; immunological synapse [GO:0001772]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; SNARE complex [GO:0031201]; synaptic vesicle [GO:0008021]; tertiary granule [GO:0070820]; vesicle [GO:0031982],intracellular protein transport [GO:0006886]; organelle assembly [GO:0070925]; organelle localization [GO:0051640]; positive regulation of receptor localization to synapse [GO:1902685]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; regulation of protein localization to plasma membrane [GO:1903076]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906],chloride channel inhibitor activity [GO:0019869]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905],azurophil granule [GO:0042582]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endocytic vesicle [GO:0030139]; endomembrane system [GO:0012505]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; immunological synapse [GO:0001772]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; SNARE complex [GO:0031201]; synaptic vesicle [GO:0008021]; tertiary granule [GO:0070820]; vesicle [GO:0031982]; chloride channel inhibitor activity [GO:0019869]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; intracellular protein transport [GO:0006886]; organelle assembly [GO:0070925]; organelle localization [GO:0051640]; positive regulation of receptor localization to synapse [GO:1902685]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; regulation of protein localization to plasma membrane [GO:1903076]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906],GO:0000149; GO:0001772; GO:0001916; GO:0005484; GO:0005764; GO:0005765; GO:0005768; GO:0005769; GO:0005770; GO:0005886; GO:0006886; GO:0006906; GO:0008021; GO:0012505; GO:0019869; GO:0019905; GO:0030139; GO:0031201; GO:0031901; GO:0031982; GO:0042582; GO:0048278; GO:0048471; GO:0051640; GO:0055037; GO:0070062; GO:0070820; GO:0070925; GO:1902685; GO:1903076,SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}.,OTHER,1.0,0.0,,False,2,,1,False,True,vacuole; endosome; vesicle; endomembrane system; extracellular region; immunological synapse; perinuclear region of cytoplasm; cell periphery; membrane protein complex; secretory vesicle,,,,0.7584,0.8506,0.0766
O43169,CYB5B_HUMAN,Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform),CYB5B CYB5M OMB5,Homo sapiens (Human),150,"TRANSMEM 123..140; /note=""Helical""; /evidence=""ECO:0000255""",,endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; nitric-oxide synthase complex [GO:1903958],nitric oxide biosynthetic process [GO:0006809]; response to oxidative stress [GO:0006979]; xenobiotic metabolic process [GO:0006805],heme binding [GO:0020037]; metal ion binding [GO:0046872],endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; nitric-oxide synthase complex [GO:1903958]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitric oxide biosynthetic process [GO:0006809]; response to oxidative stress [GO:0006979]; xenobiotic metabolic process [GO:0006805],GO:0005741; GO:0005789; GO:0006805; GO:0006809; GO:0006979; GO:0016020; GO:0020037; GO:0043231; GO:0046872; GO:1903958,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:P04166}.,OTHER,1.0,0.0,,False,10,,1,False,False,endomembrane system; intracellular organelle; membrane; outer membrane; peptidase complex,,,,0.5149,0.4933,0.1333
O43752,STX6_HUMAN,Syntaxin-6,STX6,Homo sapiens (Human),255,"TRANSMEM 235..255; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""",,clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; early endosome [GO:0005769]; endomembrane system [GO:0012505]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; SNARE complex [GO:0031201]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588],"endocytic recycling [GO:0032456]; Golgi vesicle transport [GO:0048193]; intracellular protein transport [GO:0006886]; regulation of protein localization [GO:0032880]; retrograde transport, endosome to Golgi [GO:0042147]; synaptic vesicle to endosome fusion [GO:0016189]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]",SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905],"clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; early endosome [GO:0005769]; endomembrane system [GO:0012505]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; SNARE complex [GO:0031201]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; endocytic recycling [GO:0032456]; Golgi vesicle transport [GO:0048193]; intracellular protein transport [GO:0006886]; regulation of protein localization [GO:0032880]; retrograde transport, endosome to Golgi [GO:0042147]; synaptic vesicle to endosome fusion [GO:0016189]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]",GO:0000139; GO:0000149; GO:0005484; GO:0005654; GO:0005769; GO:0005794; GO:0005802; GO:0005829; GO:0005886; GO:0006886; GO:0006906; GO:0012505; GO:0016189; GO:0019905; GO:0030136; GO:0030672; GO:0031201; GO:0032456; GO:0032588; GO:0032880; GO:0042147; GO:0045335; GO:0048193; GO:0048278; GO:0048471; GO:0055037; GO:0055038,"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:23818989}; Single-pass type IV membrane protein {ECO:0000305}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q63635}; Single-pass type IV membrane protein {ECO:0000255}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q63635}; Single-pass type IV membrane protein {ECO:0000255}.",OTHER,1.0,0.0,,False,0,,1,False,True,coated vesicle; cytosol; endosome; endomembrane system; Golgi apparatus; nucleus; perinuclear region of cytoplasm; vesicle; cell periphery; membrane protein complex,,,,0.5118,0.5176,0.0
